corner,gain_db,idd_a,meets_all,meets_gain_55db,meets_gbw_5g,meets_pm_60deg,ncas_mid,ok,phase_margin_deg,tag,temp_c,ugf_hz,vbncas,vbncm,vbntail,vbpfold,vbptop,vcmref,vdd_v,von,vop
FF,48.197851314017974,0.0008140994470902062,False,False,False,True,0.3268431509291184,True,77.04228372499449,FF_v81_tm40,-40,4588324753.63122,0.6853332186895129,0.4758499947593976,0.544479286423061,0.1875213680075435,0.3180244401093109,0.4525849662076062,0.81,0.4612208891325451,0.4612208889889746
FF,52.1832620730033,0.0009088859827295327,False,False,False,True,0.263942669066462,True,69.51484025525072,FF_v81_tp27,27,4791870412.593667,0.5558742692677141,0.4174353625634461,0.5239432669002259,0.2052973439118502,0.3578377013683536,0.418649876011315,0.81,0.4197985358151772,0.4197985356637574
FF,50.0119738941168,0.001025132999008545,False,False,False,True,0.1703817511029097,True,66.40685015362,FF_v81_tp125,125,3788430839.4908557,0.3611838497417544,0.3488156940126635,0.4905491497211934,0.2352090445875185,0.4159884590805957,0.3704684889062718,0.81,0.3611136378235604,0.3611136371448361
FF,56.48022451229987,0.0008976589726665214,True,True,True,True,0.3302117588792824,True,63.749092043261726,FF_v90_tm40,-40,5633494031.09888,0.6923565673199213,0.4460373216205537,0.5444793828774137,0.2741478051712998,0.4060136372891051,0.4566235963873784,0.9,0.4567398302295096,0.4567398299636341
FF,58.42261291235074,0.0009844936131745594,False,True,False,True,0.2666830693079806,True,62.50375718313387,FF_v90_tp27,27,4432720818.680401,0.5616075141164518,0.3769962394936572,0.5239433778247444,0.2910720411858347,0.4457222662305843,0.4227318350981953,0.9,0.4149071298201129,0.4149071295007418
FF,57.87450339004896,0.001094447987925314,False,True,False,True,0.1729353354177851,True,66.01433740527932,FF_v90_tp125,125,2520848179.4514337,0.3665763084152467,0.2640036484255777,0.4905492675773828,0.3203822444900831,0.503756909943265,0.3746188280968319,0.9,0.3526423785270012,0.3526423780085792
FF,61.15724608359467,0.0009732094471896892,False,True,False,True,0.3325894010718322,True,60.15917048990751,FF_v99_tm40,-40,3860223523.844886,0.6973141052088624,0.3961432485630551,0.5444794778947776,0.3629517751848643,0.4944312989137597,0.4599979808200167,0.99,0.4513148603811977,0.4513148598576487
FF,61.220481347283034,0.001060071371662459,False,True,False,True,0.2689078274024904,True,67.88663848564599,FF_v99_tp27,27,1908416861.1910393,0.56626152458105,0.3046814611926277,0.5239434774979668,0.3794132341597404,0.5340136179860885,0.426194339995861,0.99,0.4079732258409103,0.4079732247945931
FF,58.6892128833508,0.001165589200073664,False,True,False,True,0.1751221323918767,True,82.99493374520733,FF_v99_tp125,125,523579951.08717287,0.3711935511934895,0.159699960694949,0.4905493641274786,0.4082925876305478,0.5919046892933021,0.3781971362518564,0.99,0.33793650825209,0.3379365056171192
SF,39.96478561332887,0.0008190023547471783,False,False,False,True,0.3547809619730434,True,89.34180182634587,SF_v81_tm40,-40,2325482716.488153,0.7475129121875294,0.5473612062699534,0.6196291924551642,0.1274793546450334,0.3113965392594113,0.4965719094017942,0.81,0.5098659957400504,0.5098659956287855
